"";"code_ecole";"nom_ecole";"commune";"academie";"densite";"secteur";"rep";"classes";"eleves"
"10543";"0291796V";"ECOLE PRIMAIRE PUBLIQUE PAULINE KERGOMARD";"GUILERS";"RENNES";"Ceintures urbaines";"PUBLIC";0;11;264
"10550";"0291865V";"ECOLE PRIMAIRE PUBLIQUE DU BOURG";"PLOURIN";"RENNES";"Bourgs ruraux";"PUBLIC";0;6;134
"10554";"0291969H";"ECOLE PRIMAIRE MONA OZOUF";"PLOUGASTEL-DAOULAS";"RENNES";"Ceintures urbaines";"PUBLIC";0;13;291
"10593";"0292098Y";"ECOLE PRIMAIRE PRIVEE SAINT JOSEPH - SAINT GUENOLE";"PONT-AVEN";"RENNES";"Bourgs ruraux";"PRIVE";0;3;82
"10629";"0300161M";"ECOLE ELEMENTAIRE PUBLIQUE FREDERIC MISTRAL";"ALES";"MONTPELLIER";"Centres urbains intermédiaires";"PUBLIC";0;5;114
"10666";"0300259U";"ECOLE MATERNELLE PUBLIQUE PHILIPPE LAMOUR";"BELLEGARDE";"MONTPELLIER";"Petites villes";"PUBLIC";0;7;133
"10738";"0300466U";"ECOLE MATERNELLE PUBLIQUE EUGENIE DELEUZE";"LE GRAU-DU-ROI";"MONTPELLIER";"Ceintures urbaines";"PUBLIC";0;4;92
"10865";"0300808R";"ECOLE ELEMENTAIRE PUBLIQUE LES TROIS TILLEULS";"SAINT-VICTOR-DES-OULES";"MONTPELLIER";"Rural à habitat dispersé";"PUBLIC";0;1;20
"10964";"0301166E";"ECOLE ELEMENTAIRE PRIVEE SAINT STANISLAS";"NIMES";"MONTPELLIER";"Grands centres urbains";"PRIVE";0;9;250
"11104";"0301518M";"ECOLE PRIMAIRE PUBLIQUE CONDAMINE";"SOMMIERES";"MONTPELLIER";"Petites villes";"PUBLIC";0;6;124
"11183";"0301766G";"ECOLE PRIMAIRE PUBLIQUE LI PASSEROUN";"SOMMIERES";"MONTPELLIER";"Petites villes";"PUBLIC";0;10;194
"11228";"0310189M";"ECOLE MATERNELLE PUBLIQUE JEAN MACE";"TOULOUSE";"TOULOUSE";"Grands centres urbains";"PUBLIC";0;4;92
"11268";"0310240T";"ECOLE MATERNELLE PUBLIQUE PAPUS";"TOULOUSE";"TOULOUSE";"Grands centres urbains";"PUBLIC";1;6;96
"11317";"0310387C";"ECOLE ELEMENTAIRE PUBLIQUE DANTON CAZELLES";"CASTANET-TOLOSAN";"TOULOUSE";"Centres urbains intermédiaires";"PUBLIC";0;10;228
"11405";"0310588W";"ECOLE PRIMAIRE PUBLIQUE LES NOISETTES";"LAVELANET-DE-COMMINGES";"TOULOUSE";"Rural à habitat dispersé";"PUBLIC";0;3;52
"11596";"0311385M";"ECOLE MATERNELLE PUBLIQUE GASTON BONHEUR";"BALMA";"TOULOUSE";"Grands centres urbains";"PUBLIC";0;4;109
"11609";"0311426G";"ECOLE ELEMENTAIRE PUBLIQUE GABRIEL SAJUS";"RAMONVILLE-SAINT-AGNE";"TOULOUSE";"Grands centres urbains";"PUBLIC";0;7;148
"11632";"0311472G";"ECOLE PRIMAIRE PRIVEE SAINTE-FAMILLE";"VILLEMUR-SUR-TARN";"TOULOUSE";"Bourgs ruraux";"PRIVE";0;4;107
"11738";"0311735T";"ECOLE PRIMAIRE PUBLIQUE -";"AYGUESVIVES";"TOULOUSE";"Bourgs ruraux";"PUBLIC";0;13;325
"11741";"0311740Y";"ECOLE MATERNELLE PUBLIQUE LA SOURIS VERTE";"LAGARDELLE-SUR-LEZE";"TOULOUSE";"Bourgs ruraux";"PUBLIC";0;6;138
"11780";"0311892N";"ECOLE MATERNELLE PUBLIQUE MAURICE SAQUER";"GRATENTOUR";"TOULOUSE";"Ceintures urbaines";"PUBLIC";0;5;116
"11794";"0312004K";"ECOLE MATERNELLE D APPLICATION MAURICE BECANNE";"TOULOUSE";"TOULOUSE";"Grands centres urbains";"PUBLIC";0;4;93
"11869";"0312202A";"ECOLE ELEMENTAIRE PUBLIQUE LES GACHOTS";"LEGUEVIN";"TOULOUSE";"Centres urbains intermédiaires";"PUBLIC";0;13;294
"11906";"0312323G";"ECOLE ELEMENTAIRE PUBLIQUE SIMONE VEIL";"TOULOUSE";"TOULOUSE";"Grands centres urbains";"PUBLIC";1;13;190
"11914";"0312401S";"ECOLE ELEMENTAIRE PUBLIQUE ROGER SUDRE";"REVEL";"TOULOUSE";"Petites villes";"PUBLIC";0;11;231
"11920";"0312409A";"ECOLE PRIMAIRE PUBLIQUE MARIE ET PIERRE CURIE";"FROUZINS";"TOULOUSE";"Grands centres urbains";"PUBLIC";0;12;281
"11945";"0312539S";"ECOLE ELEMENTAIRE PUBLIQUE ALAIN SAVARY";"COLOMIERS";"TOULOUSE";"Grands centres urbains";"PUBLIC";0;13;299
"11962";"0312618C";"ECOLE MATERNELLE PUBLIQUE DU PETIT CHENE";"GARIDECH";"TOULOUSE";"Bourgs ruraux";"PUBLIC";0;4;73
"12002";"0312850E";"ECOLE PRIMAIRE PRIVEE CALANDRETA DEL PAIS SUD TOLOSAN";"CINTEGABELLE";"TOULOUSE";"Rural à habitat dispersé";"PRIVE";0;2;48
"12163";"0320391B";"ECOLE MATERNELLE PUBLIQUE ARAGO";"AUCH";"TOULOUSE";"Centres urbains intermédiaires";"PUBLIC";0;3;73
"12270";"0330232Y";"ECOLE MATERNELLE PUBLIQUE ARGONNE";"BORDEAUX";"BORDEAUX";"Grands centres urbains";"PUBLIC";0;5;129
"12287";"0330253W";"ECOLE MATERNELLE PUBLIQUE NUYENS";"BORDEAUX";"BORDEAUX";"Grands centres urbains";"PUBLIC";1;7;126
"12329";"0330310H";"ECOLE MATERNELLE PUBLIQUE JOLIOT-CURIE";"TALENCE";"BORDEAUX";"Grands centres urbains";"PUBLIC";0;6;152
"12379";"0330455R";"ECOLE PRIMAIRE PUBLIQUE HENRI IV";"BORDEAUX";"BORDEAUX";"Grands centres urbains";"PUBLIC";1;12;228
"12413";"0330565K";"ECOLE ELEMENTAIRE PUBLIQUE -";"CAMBLANES-ET-MEYNAC";"BORDEAUX";"Ceintures urbaines";"PUBLIC";0;8;199
